ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11364846,JB329276,06/30/2018 12:58:00 PM,0000X N MASON AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1513,015,29,25,19,1136771,1899713,2018,07/07/2018 03:59:10 PM,41.880969691,-87.77325162,"(41.880969691, -87.77325162)"
11365242,JB329803,06/30/2018 07:26:00 PM,062XX S VERNON AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0313,003,20,42,19,1180323,1863741,2018,07/07/2018 03:59:10 PM,41.781368628,-87.614437821,"(41.781368628, -87.614437821)"
11366274,JB331200,07/01/2018 06:30:00 AM,015XX S SAWYER AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1022,010,24,29,19,1154948,1892216,2018,07/08/2018 04:08:06 PM,41.860052214,-87.70670735,"(41.860052214, -87.70670735)"
11200717,JB111388,01/06/2018 11:07:00 PM,022XX W DEVON AVE,1670,GAMBLING,GAME/AMUSEMENT DEVICE,CONVENIENCE STORE,true,false,2412,024,50,2,19,1160266,1942454,2018,05/04/2018 03:51:04 PM,41.997800496,-87.685793648,"(41.997800496, -87.685793648)"
11370480,JB336900,07/05/2018 05:50:00 PM,010XX W ARGYLE ST,1670,GAMBLING,GAME/AMUSEMENT DEVICE,SMALL RETAIL STORE,true,false,2024,020,46,3,19,1168584,1933591,2018,07/12/2018 03:56:08 PM,41.973303535,-87.655452896,"(41.973303535, -87.655452896)"
11370530,JB337045,07/05/2018 06:45:00 PM,010XX N MONTICELLO AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1112,011,27,23,19,1151856,1906670,2018,07/12/2018 03:56:08 PM,41.899776906,-87.717676724,"(41.899776906, -87.717676724)"
11370670,JB337146,07/05/2018 07:50:00 PM,078XX S ESSEX AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0421,004,7,43,19,1194220,1853454,2018,07/12/2018 03:56:08 PM,41.75281024,-87.5638266,"(41.75281024, -87.5638266)"
11371327,JB338004,07/06/2018 01:45:00 PM,033XX W VAN BUREN ST,1661,GAMBLING,GAME/DICE,STREET,true,false,1134,011,28,27,19,1153994,1897824,2018,07/13/2018 03:50:04 PM,41.875460231,-87.710059786,"(41.875460231, -87.710059786)"
11372807,JB339980,07/07/2018 08:05:00 PM,051XX W NORTH AVE,1661,GAMBLING,GAME/DICE,GAS STATION,true,false,2533,025,37,25,19,1141672,1910146,2018,07/14/2018 03:51:39 PM,41.909509901,-87.754996996,"(41.909509901, -87.754996996)"
11373927,JB341521,07/08/2018 10:27:00 PM,005XX N KEDZIE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1121,011,27,23,19,1154949,1903392,2018,07/15/2018 03:50:07 PM,41.890720296,-87.706404029,"(41.890720296, -87.706404029)"
11373948,JB341529,07/08/2018 10:27:00 AM,005XX N KEDZIE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1121,011,27,23,19,1154949,1903392,2018,07/15/2018 03:50:07 PM,41.890720296,-87.706404029,"(41.890720296, -87.706404029)"
11374507,JB342163,07/09/2018 12:25:00 PM,007XX N RIDGEWAY AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1112,011,27,23,19,1151252,1904762,2018,07/16/2018 04:10:11 PM,41.894553036,-87.719945341,"(41.894553036, -87.719945341)"
11374911,JB342742,07/09/2018 06:55:00 PM,013XX S SPAULDING AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1022,010,24,29,19,1154579,1893551,2018,07/16/2018 04:10:11 PM,41.863722985,-87.708026165,"(41.863722985, -87.708026165)"
11375016,JB342862,07/09/2018 07:03:00 PM,065XX S LAFLIN ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0725,007,17,67,19,1167463,1861310,2018,07/16/2018 04:10:11 PM,41.774983017,-87.66165499,"(41.774983017, -87.66165499)"
11375601,JB343685,07/10/2018 12:47:00 PM,061XX S DR MARTIN LUTHER KING JR DR,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0311,003,20,40,19,1179973,1864429,2018,07/17/2018 03:53:57 PM,41.783264589,-87.615699937,"(41.783264589, -87.615699937)"
11375699,JB343785,07/10/2018 02:20:00 PM,029XX W HARRISON ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1135,011,2,27,19,1156896,1897227,2018,07/17/2018 03:53:57 PM,41.873763682,-87.699420906,"(41.873763682, -87.699420906)"
11377792,JB346574,07/12/2018 01:33:00 PM,033XX W VAN BUREN ST,1661,GAMBLING,GAME/DICE,STREET,true,false,1134,011,28,27,19,1153989,1897824,2018,07/19/2018 03:58:29 PM,41.875460331,-87.710078144,"(41.875460331, -87.710078144)"
11378280,JB347305,07/12/2018 10:40:00 PM,033XX W VAN BUREN ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1134,011,28,27,19,1153985,1897823,2018,07/19/2018 03:58:29 PM,41.875457667,-87.710092857,"(41.875457667, -87.710092857)"
11378645,JB347618,07/13/2018 08:16:00 AM,004XX N AVERS AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1122,011,27,23,19,1150642,1902794,2018,07/20/2018 03:52:22 PM,41.889164585,-87.722237187,"(41.889164585, -87.722237187)"
11379103,JB348308,07/13/2018 04:43:00 PM,005XX N KEDZIE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1121,011,27,23,19,1154947,1903445,2018,07/20/2018 03:52:22 PM,41.890865773,-87.706409952,"(41.890865773, -87.706409952)"
